Total Amount,Date,SICK LEGEND,TEKKNO,HYPERTECHNO,TECHNO N TEQUILLA,DRILL GATES,SPED UP DRILL GATES,11:11 Music Group,TWO PUNKS IN LOVE,RAINY JASPER,AMBIENT JASPER,90210,DEADBOY,REAL ARTISTS
1342009,"April 15, 2023",416830,193343,18532,0,115579,2705,560752,35,3482,757,12,29982,
1452082,"April 14, 2023",483459,208222,19920,0,119856,3157,581789,34,3942,793,23,30887,
1403138,"April 13, 2023",467859,189165,17784,0,119648,2997,570601,30,4135,865,19,30035,
1399924,"April 12, 2023",476189,186714,17323,0,119485,3110,562195,34,4400,919,20,29535,
1483638,"April 11, 2023",532585,195455,16874,0,114769,1966,587609,33,3834,1211,20,29282,
1375815,"April 10, 2023",467266,168471,14351,0,112454,2538,576541,23,4162,1478,14,28517,
1265759,"April 9, 2023",395897,163333,12301,0,104560,2316,555012,18,3600,1228,15,27479,
1388386,"April 8, 2023",464592,183559,14102,0,113113,2194,576877,17,3376,1209,8,29339,
1437702,"April 7, 2023",488980,189838,14143,0,111080,3559,595444,29,3245,1245,14,30125,
1492162,"April 6, 2023",518342,198068,14211,0,110813,1988,612761,23,3330,1373,19,31234,
1508621,"April 5, 2023",536659,195759,10569,0,111902,1694,613918,27,3575,1376,16,33126,
1546126,"April 4, 2023",547831,209868,10197,0,120034,1507,614305,26,3823,1445,15,37075,
1533685,"April 3, 2023",545249,205869,10119,0,115986,1385,613820,23,3701,1434,26,36073,
1348601,"April 2, 2023",435579,171918,8607,0,110657,1798,582391,16,3422,1277,27,32909,
1492775,"April 1, 2023",509196,204313,9879,0,119064,1794,608635,20,3226,1195,20,35433,
1602072,"March 31, 2023",579849,227612,9760,0,124952,1583,620212,19,3460,1330,21,33274,
1554082,"March 30, 2023",561879,208134,8695,0,128062,1389,608742,21,3331,1322,17,32490,
1545533,"March 29, 2023",571248,195206,7989,0,125917,1660,608605,20,3269,1323,4,30292,
1562134,"March 28, 2023",588864,189098,7585,0,124118,1440,617646,17,3263,1342,4,28757,
1534266,"March 27, 2023",573026,183069,7504,0,122914,1524,611683,20,3256,1506,3,29761,
1365638,"March 26, 2023",458227,155654,6036,0,120808,1827,589513,19,3093,1355,4,29102,
1542080,"March 25, 2023",545247,196346,7318,0,131072,1591,626603,11,2916,1127,2,29847,
1659901,"March 24, 2023",620526,217669,7493,0,135919,1634,641434,9,3124,1308,3,30782,
1611675,"March 23, 2023",594465,202666,5974,0,132973,1837,635973,5,3446,1529,3,32804,
1622856,"March 22, 2023",591304,199148,5308,0,134822,1818,652457,9,3444,1504,3,33039,
1638558,"March 21, 2023",600063,193500,5143,0,137674,1792,659939,6,3416,1594,4,35427,
1597469,"March 20, 2023",570602,197279,5029,0,134279,1567,651201,9,3555,1458,3,32487,
1425847,"March 19, 2023",452734,167012,4373,0,125475,2204,637222,13,3418,1193,3,32200,
1592706,"March 18, 2023",539543,203716,5046,0,137496,1874,668053,11,3093,1201,4,32669,
1706263,"March 17, 2023",608818,226508,5345,0,141032,1862,684388,10,3370,1477,8,33445,
