Total Amount,Date,SICK LEGEND,TEKKNO,HYPERTECHNO,TECHNO N TEQUILLA,DRILL GATES,SPED UP DRILL GATES,11:11 Music Group,TWO PUNKS IN LOVE,RAINY JASPER,AMBIENT JASPER,90210,DEADBOY,REAL ARTISTS
4009730,"April 17, 2023",1499065,530235,62153,0,271372,3511,993593,52,504495,91384,46,53824,
3391724,"April 16, 2023",1101902,407722,47129,0,246094,3274,968199,50,489832,75772,25,51725,
3689549,"April 15, 2023",1303297,518319,56120,0,261628,3793,982995,61,435443,72002,19,55872,
4114743,"April 14, 2023",1556838,576940,64038,0,275127,4476,1012530,70,486249,78553,47,59875,
4006565,"April 13, 2023",1501561,525790,55241,0,270329,4235,997100,66,499906,92612,47,59678,
3965112,"April 12, 2023",1529026,516746,52815,0,272132,4199,980654,69,462822,89358,36,57255,
4148893,"April 11, 2023",1675205,529731,51946,0,257595,2808,1011368,101,479041,83833,60,57205,
3897989,"April 10, 2023",1454085,450479,44164,0,256699,3607,1009097,41,534718,87681,49,57369,
3500147,"April 9, 2023",1189150,435854,39087,0,238481,3247,971146,52,486647,81980,33,54470,
3845197,"April 8, 2023",1422854,502734,47245,0,256995,3170,1014183,71,476002,63782,16,58145,
4053776,"April 7, 2023",1525544,533225,48083,0,255310,4676,1044422,133,501072,79136,23,62152,
4247366,"April 6, 2023",1664488,577189,49747,0,257007,2787,1067751,50,478185,85530,29,64603,
4237872,"April 5, 2023",1700659,542381,40322,0,251764,2392,1065733,76,479186,89396,50,65913,
4373830,"April 4, 2023",1744939,573371,38548,0,266996,2141,1077603,50,507351,92454,42,70335,
4386455,"April 3, 2023",1752607,570216,37620,0,261436,2103,1079048,56,534823,80635,77,67834,
3784579,"April 2, 2023",1343232,465302,29378,0,252836,2550,1034930,26,510821,81231,121,64152,
4125342,"April 1, 2023",1564587,559774,36132,0,268507,2735,1075599,33,468845,80943,59,68128,
4479981,"March 31, 2023",1815565,632230,39979,0,277134,2610,1093352,32,465559,86480,146,66894,
4324444,"March 30, 2023",1752641,574505,33640,0,277223,2138,1070761,32,465099,82718,89,65598,
4365921,"March 29, 2023",1790510,547430,31400,0,274657,2396,1075884,50,491129,90995,4,61466,
4438894,"March 28, 2023",1856157,527699,29253,0,272370,2083,1098037,34,512434,80903,5,59919,
4339797,"March 27, 2023",1792134,512383,27581,0,271226,2196,1083614,35,505222,83707,7,61692,
3799266,"March 26, 2023",1373586,424030,21402,0,271756,2693,1064539,37,500693,79981,5,60544,
4209546,"March 25, 2023",1653540,544777,24690,0,292847,2496,1119283,32,436958,72585,4,62334,
4620385,"March 24, 2023",1912563,620210,24230,0,306353,2653,1143732,26,454635,91346,3,64634,
4578600,"March 23, 2023",1850032,572675,19142,0,296747,2746,1159192,13,517747,94046,4,66256,
4643734,"March 22, 2023",1864953,567612,17496,0,299993,2764,1172976,71,556204,95955,6,65704,
4642327,"March 21, 2023",1895819,545584,17334,0,307057,2577,1172016,10,529633,104313,5,67979,
4557972,"March 20, 2023",1815377,556493,17349,0,301407,2356,1168340,14,549706,80965,5,65960,
4016022,"March 19, 2023",1390989,462691,14943,0,287945,3144,1149356,16,561214,81253,3,64468,
4394131,"March 18, 2023",1669231,570493,17903,0,307824,2781,1196104,15,484218,80415,6,65141,
4798312,"March 17, 2023",1937763,660215,18797,0,320271,2772,1210198,17,486626,93902,11,67740,
4530822,"March 16, 2023",1887893,573671,14889,0,295896,2456,1170643,18,427184,89755,6,68411,
4630233,"March 15, 2023",1955644,559632,13079,0,294768,3063,1160915,18,475196,101204,3,66711,
4607576,"March 14, 2023",1974867,541394,12627,0,274217,2386,1157720,19,481500,100147,10,62689,
4580884,"March 13, 2023",1953877,537778,12624,0,284025,2623,1157004,30,474994,97288,1,60640,
3967536,"March 12, 2023",1520681,429315,8347,0,285323,2593,1157035,13,425334,79713,6,59176,
4299370,"March 11, 2023",1741471,546793,9878,0,295479,2930,1198674,14,367391,70883,2,65855,
4689520,"March 10, 2023",2005324,599180,9637,0,308291,3071,1228452,7,387474,82800,3,65281,
4570050,"March 9, 2023",1894680,513352,7373,0,293455,2974,1246483,14,451779,97953,4,61983,
4522905,"March 8, 2023",1895886,501753,5563,0,287717,2714,1238884,10,418407,109220,4,62747,
4601938,"March 7, 2023",1958150,486580,5553,0,284733,2787,1255499,11,432790,112939,4,62892,
