Date,ArtistName,ArtistId,Country,listeners,streams,streams_per_listener,saves,playlist_adds,followers,Total active audience,Super listeners,Moderate listeners,Light listeners
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,SI,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,AU,3.0,3.0,1.0,0.0,0.0,1.0,26,2,5,19
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,KH,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,GR,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,BZ,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,BA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,SE,0.0,0.0,0.0,0.0,0.0,1.0,8,0,1,7
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,VE,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,BR,4.0,17.0,4.25,0.0,0.0,3.0,51,2,8,41
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,CA,1.0,2.0,2.0,0.0,0.0,3.0,22,1,4,17
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,CD,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,CL,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,SK,1.0,1.0,1.0,0.0,0.0,0.0,5,0,4,1
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,IT,0.0,0.0,0.0,0.0,0.0,0.0,16,1,2,13
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,BN,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,LY,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,BY,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,DO,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,BH,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,BE,1.0,1.0,1.0,0.0,0.0,0.0,3,0,1,2
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,ZA,1.0,1.0,1.0,0.0,0.0,0.0,6,0,1,5
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,NG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,TN,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,RS,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,NI,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,KW,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,QA,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,BO,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,PL,1.0,2.0,2.0,0.0,0.0,0.0,16,3,3,10
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,NZ,1.0,1.0,1.0,0.0,0.0,0.0,3,0,0,3
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,RO,0.0,0.0,0.0,0.0,0.0,1.0,5,1,2,2
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,AR,1.0,2.0,2.0,0.0,0.0,0.0,9,0,2,7
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,NL,2.0,3.0,1.5,0.0,3.0,1.0,13,0,5,8
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,MY,1.0,1.0,1.0,0.0,0.0,0.0,5,1,1,3
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,GE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,IQ,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,AE,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,2
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,HK,1.0,1.0,1.0,0.0,0.0,0.0,2,0,0,2
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,GT,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,BG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,CH,1.0,1.0,1.0,0.0,0.0,1.0,4,0,1,3
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,KE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,EG,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,HU,0.0,0.0,0.0,0.0,0.0,0.0,9,3,2,4
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,AT,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,4
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,KR,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,IN,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,11
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,MV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,FI,1.0,1.0,1.0,0.0,0.0,0.0,7,0,1,6
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,DK,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,3
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,SC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,PT,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,3
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,EC,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,TH,1.0,1.0,1.0,0.0,0.0,0.0,14,1,3,10
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,UA,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,TT,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2023-06-19,TWO PUNKS IN LOVE,6pOqcPiFkbjIKUBF86cfuM,CO,1.0,4.0,4.0,0.0,0.0,0.0,1,0,1,0
